Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.6,413000,5.8,John McTiernan,128,16+,1995
5.3,175000,4.6,Corin Hardy,96,18+,2018
5.2,97000,3.9,Tim Hill,92,6+,2007
7.3,607000,6.9,Christopher Nolan,150,16+,2020
7.2,351000,6.8,Roger Michell,124,12+,1999
7.2,319000,7.8,John Lasseter,95,0+,1998
6.2,138000,4.7,Shawn Levy,98,6+,2014
6.5,419000,5.8,Steven Soderbergh,125,16+,2004
5.7,235000,5.0,Tim Burton,120,12+,2001
5.8,340000,3.0,Todd Phillips,100,16+,2013
6.4,212000,5.7,Michael Apted,128,16+,1999
5.4,21000,6.3,Raman Hui,110,0+,2018
6.5,316000,4.6,Justin Lin,107,16+,2009
5.8,269000,6.8,Darren Aronofsky,138,16+,2014
6.2,210000,6.1,Harald Zwart,140,6+,2010
6.9,409000,4.6,Chris Columbus,120,12+,1992
7.0,287000,4.7,Genndy Tartakovsky,91,6+,2012
7.6,592000,8.0,Steven Spielberg,145,16+,2002
8.6,872000,9.6,Hayao Miyazaki,124,12+,2001
6.9,513000,5.0,Tony Scott,109,12+,1986
6.2,191000,4.4,David Yates,110,12+,2016
8.3,1200000,8.4,Sam Mendes,122,16+,1999
7.7,320000,7.8,Ron Howard,140,12+,1995
8.0,554000,6.5,Barry Levinson,133,16+,1988
7.2,607000,5.5,Baz Luhrmann,143,16+,2013
6.3,84000,5.1,Tim Burton,112,6+,2019
7.1,584000,5.9,Alex Proyas,115,12+,2004
7.1,223000,4.3,Paul Verhoeven,127,18+,1992
6.5,303000,5.2,Kenneth Branagh,114,16+,2017
7.7,736000,6.5,Matthew Vaughn,131,12+,2011
6.3,107000,4.3,Clay Kaytis,97,6+,2016
7.2,273000,6.5,Martin Campbell,130,12+,1995
8.1,1100000,7.5,Steven Spielberg,141,12+,2002
7.2,719000,5.0,Louis Leterrier,115,12+,2013
6.8,298000,5.7,Ridley Scott,131,18+,2001
6.9,431000,5.9,Chuck Russell,101,12+,1994
6.6,49000,5.1,Will Gluck,95,6+,2018
7.3,399000,7.8,Jan de Bont,116,12+,1994
6.4,68000,5.6,Eric Leighton,82,12+,2000
6.7,96000,6.6,Rob Marshall,130,6+,2018
6.2,193000,4.0,Mimi Leder,120,12+,1998
6.4,133000,4.6,Chris Renaud,86,0+,2012
6.8,522000,5.7,Wes Ball,113,12+,2014
5.3,47000,3.4,Raja Gosnell,105,0+,2013
6.9,360000,4.0,Jon Turteltaub,131,12+,2004
6.4,94000,5.5,Mike Mitchell,92,6+,2016
6.7,244000,4.8,Brett Ratner,90,12+,2001
6.3,295000,4.6,Ron Howard,104,12+,2000
5.2,98000,4.2,D.J. Caruso,107,16+,2017
6.7,206000,5.9,Mike Gabriel,81,12+,1995
7.0,261000,6.8,Justin Lin,122,12+,2016
4.4,41000,2.4,Mike Mitchell,87,0+,2011
6.7,413000,6.4,Timur Bekmambetov,110,16+,2008
5.0,88000,3.8,Brian Levant,91,0+,1994
7.5,607000,8.2,John Krasinski,90,16+,2018
7.1,220000,7.5,Kevin Lima,107,12+,2007
6.7,192000,6.7,Tim Johnson,83,12+,2006
6.2,319000,4.8,Noam Murro,102,16+,2014
6.7,142000,5.4,Francis Lawrence,157,12+,2023
5.4,270000,5.4,Joel Schumacher,121,12+,1995
6.5,307000,5.0,Mike Newell,116,12+,2010
7.8,705000,7.0,David Fincher,166,12+,2008
5.7,114000,4.1,Brad Peyton,94,12+,2012
7.4,363000,5.8,Michael Bay,136,16+,1996
5.9,150000,4.2,Yimou Zhang,103,12+,2016
6.4,327000,4.6,Jon M. Chu,129,12+,2016
6.2,19000,0.0,Yang Song,100,12+,2017
6.8,268000,6.6,Sharon Maguire,97,12+,2001
5.7,349000,4.0,Tim Story,106,12+,2005
7.5,542000,5.7,Steven Spielberg,118,0+,1984
6.5,206000,5.2,Roger Spottiswoode,119,12+,1997
